OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
NR3C1,POU2F1,Affinity Capture-Western
NR3C1,TP53,Affinity Capture-Western
NR3C1,RAF1,Affinity Capture-Western
JUN,UBE2I,Two-hybrid
NTRK2,SHC3,Two-hybrid
NTRK2,PLCG1,Two-hybrid
NTRK2,PIK3R1,Two-hybrid
NTRK2,SH2B1,Two-hybrid
NTRK2,NCK2,Two-hybrid
NTRK2,NCK2,Reconstituted Complex
PLD1,ARF6,Affinity Capture-Western
ARF6,ARFIP2,Reconstituted Complex
AKT1,ARFIP2,Two-hybrid
NCBP1,NCBP2,Co-crystal Structure
EIF4G1,NCBP1,Affinity Capture-Western
POU2AF1,SUB1,Reconstituted Complex
KCNJ4,DLG4,Affinity Capture-Western
DLG4,KCNJ2,Affinity Capture-Western
KCNJ4,GNGT2,Affinity Capture-Western
DLG1,KCNJ2,Reconstituted Complex
DLG1,KCNJ12,Reconstituted Complex
DLG1,KCNJ4,Reconstituted Complex
DLG1,KCNJ12,Affinity Capture-Western
NCK1,WAS,Affinity Capture-Western
PTK2,BCAR1,Affinity Capture-Western
BCAR1,NCK1,Affinity Capture-Western
NCK1,KHDRBS1,Far Western
NCK1,KHDRBS1,Affinity Capture-Western
NCKAP1,ABI1,Affinity Capture-Western
ABI1,NCK1,Reconstituted Complex
ABI1,ABL1,Reconstituted Complex
WIPF1,NCK1,Two-hybrid
WIPF1,WAS,Two-hybrid
WIPF1,NCK1,Affinity Capture-Western
NCK1,PFN1,Reconstituted Complex
DOK2,NCK1,Affinity Capture-Western
DOK2,TEK,Affinity Capture-Western
CAV2,SRC,Reconstituted Complex
CAV2,NCK1,Reconstituted Complex
CAV2,RASA1,Reconstituted Complex
CAV2,RASA1,Affinity Capture-Western
RASA1,CAV2,Affinity Capture-Western
NCK1,PAK1,Reconstituted Complex
PAK1,NCK1,Affinity Capture-Western
BCL2L2,BAX,Affinity Capture-Western
BCL2L2,BAD,Affinity Capture-Western
BCL2L2,BAK1,Affinity Capture-Western
BCL2L2,BIK,Affinity Capture-Western
TBPL1,GTF2A1,Affinity Capture-Western
TBP,GTF2A1L,Reconstituted Complex
SERPING1,MASP1,Reconstituted Complex
SERPING1,MASP2,Reconstituted Complex
MASP1,FCN2,Reconstituted Complex
MASP2,FCN2,Reconstituted Complex
EPHB2,EFNB2,Reconstituted Complex
SLC9A1,CHP1,Affinity Capture-Western
CHP1,SLC9A1,Affinity Capture-Western
CHP1,SLC9A1,Far Western
RECQL,KPNA4,Reconstituted Complex
RECQL,KPNA2,Reconstituted Complex
SIX3,NR4A3,Reconstituted Complex
SIX3,NR4A3,Affinity Capture-Western
NR4A3,SIX3,Two-hybrid
NR4A3,SIX3,Reconstituted Complex
STAT1,MCM5,Reconstituted Complex
STAT1,MCM5,Affinity Capture-Western
MCM5,MCM3,Affinity Capture-Western
MCM5,MCM4,Affinity Capture-Western
MCM5,MCM6,Affinity Capture-Western
MCM5,MCM7,Affinity Capture-Western
MCM5,MCM2,Affinity Capture-Western
STAT1,STAT2,Reconstituted Complex
STAT1,KPNA1,Reconstituted Complex
PIAS1,STAT1,Reconstituted Complex
VCAM1,CCL17,Reconstituted Complex
VCAM1,CCL22,Reconstituted Complex
NRP1,VEGFB,Reconstituted Complex
FLT1,VEGFB,Reconstituted Complex
TGFB1I1,Git1,Affinity Capture-Western
NRL,CRX,Two-hybrid
NRL,CRX,Reconstituted Complex
APBA1,CCS,Two-hybrid
APBA1,CCS,Affinity Capture-Western
APBA1,CCS,Reconstituted Complex
CCS,APBA1,Reconstituted Complex
NF2,SDCBP,Reconstituted Complex
SDCBP,NF2,Reconstituted Complex
NF2,SDCBP,Two-hybrid
N4BP3,NEDD4,Affinity Capture-Western
TRAF6,ZNF675,Affinity Capture-Western
TRAF6,ZNF675,Phenotypic Suppression
TRAF6,ZNF675,Two-hybrid
ZNF675,TRAF6,Reconstituted Complex
TRAF6,ZNF675,Phenotypic Enhancement
TNFSF11,ZNF675,Phenotypic Suppression
IL1B,ZNF675,Phenotypic Suppression
ACTN4,CAMK2A,Two-hybrid
ACTN4,CAMK2B,Two-hybrid
ACTN4,Lrrc7,Two-hybrid
CAMK2A,Lrrc7,Two-hybrid
CAMK2A,ACTN4,Two-hybrid
CAMK2B,ACTN4,Two-hybrid
NRP1,VEGFA,Affinity Capture-Western
NRP1,VEGFA,Reconstituted Complex
VEGFA,VEGFA,Co-crystal Structure
VIPR1,SCT,Reconstituted Complex
MICAL1,NEDD9,Affinity Capture-Western
NEDD9,MICAL1,Affinity Capture-Western
SRC,MICAL1,Reconstituted Complex
GRB2,MICAL1,Reconstituted Complex
ABL1,MICAL1,Reconstituted Complex
CRK,MICAL1,Reconstituted Complex
NEDD9,MICAL1,Reconstituted Complex
VIM,MICAL1,Affinity Capture-Western
VIM,VIM,Co-crystal Structure
VIM,VIM,Co-crystal Structure
UPP1,VIM,Affinity Capture-MS
UPP2,VIM,Affinity Capture-MS
UPP1,VIM,Co-purification
UPP2,VIM,Co-purification
ETV6,FLI1,Two-hybrid
FLI1,ETV6,Reconstituted Complex
ETV6,ETV6,Affinity Capture-Western
FLI1,ETV6,Affinity Capture-Western
GATA1,FLI1,Reconstituted Complex
FLI1,GATA1,Reconstituted Complex
FLI1,GATA1,Affinity Capture-Western
KLF1,FLI1,Affinity Capture-Western
KLF1,FLI1,Reconstituted Complex
VHL,TCEB1,Co-crystal Structure
VHL,TCEB2,Co-crystal Structure
VHL,HIF1A,Co-crystal Structure
HNRNPA2B1,VHL,Affinity Capture-Western
HIF1A,VHL,Reconstituted Complex
VHL,HIF1A,Affinity Capture-Western
VHL,USP33,Two-hybrid
VHL,USP33,Reconstituted Complex
VHL,USP33,Affinity Capture-Western
TCEB1,VHL,Reconstituted Complex
TCEB1,USP33,Reconstituted Complex
TCEB1,TCEB2,Reconstituted Complex
PARP1,PARP2,Affinity Capture-Western
PARP1,Parp2,Reconstituted Complex
PARP1,Parp2,Affinity Capture-Western
XRCC1,PARP2,Affinity Capture-Western
PARP2,XRCC1,Affinity Capture-Western
XRCC1,PNKP,Affinity Capture-Western
PNKP,XRCC1,Affinity Capture-Western
PNKP,XRCC1,Far Western
LIG3,PNKP,Affinity Capture-Western
POLB,PNKP,Affinity Capture-Western
PNKP,POLB,Affinity Capture-Western
PNKP,LIG3,Affinity Capture-Western
PNKP,LIG3,Two-hybrid
PNKP,POLB,Two-hybrid
RPL7,ZNF7,Two-hybrid
ZNF7,RPL7,Reconstituted Complex
RPL7,ZNF7,Affinity Capture-Western
SMAD3,Zfp128,Reconstituted Complex
SMAD4,Zfp128,Reconstituted Complex
SMAD5,Zfp128,Reconstituted Complex
ACADVL,ACADVL,Co-purification
ASL,ASL,Co-crystal Structure
AGA,AGA,Co-purification
C1R,SERPING1,Co-fractionation
F5,F5,Co-crystal Structure
FANCG,FANCA,Two-hybrid
FANCG,FANCF,Two-hybrid
FANCG,FANCE,Two-hybrid
FANCE,FANCC,Two-hybrid
FANCA,FANCE,Two-hybrid
FANCA,FANCG,Two-hybrid
FANCF,FANCG,Two-hybrid
FANCC,FANCE,Two-hybrid
FANCA,FANCA,Two-hybrid
FANCG,FANCG,Two-hybrid
FANCA,FANCG,Reconstituted Complex
FANCG,FANCF,Reconstituted Complex
FANCE,FANCC,Reconstituted Complex
FANCA,FANCE,Reconstituted Complex
FANCE,FANCA,Reconstituted Complex
FANCG,FANCE,Reconstituted Complex
FANCE,FANCG,Reconstituted Complex
FANCA,FANCA,Affinity Capture-Western
FANCE,FANCA,Affinity Capture-Western
FANCE,FANCG,Affinity Capture-Western
FANCE,FANCF,Affinity Capture-Western
FANCC,FANCE,Co-localization
FANCE,FANCC,Reconstituted Complex
FANCC,FANCE,Two-hybrid
FANCD2,FANCE,Two-hybrid
FANCE,FANCD2,Co-purification
KNG1,KLKB1,Reconstituted Complex
KNG1,ITGB2,Reconstituted Complex
GP1BA,FLNB,Two-hybrid
GP1BA,FLNB,Reconstituted Complex
PYGL,PYGL,Co-crystal Structure
NCF2,NCF1,Reconstituted Complex
NCF1,NCF2,Co-crystal Structure
NCF2,RAC1,Co-crystal Structure
HFE,TFR2,Co-crystal Structure
CBS,CBS,Co-crystal Structure
NEU1,CTSA,Affinity Capture-Western
NEU1,CTSA,Co-fractionation
PDPK1,PRKACA,Two-hybrid
PRKACA,PDPK1,Reconstituted Complex
TNFRSF1A,TRADD,Affinity Capture-Western
TNFRSF1A,TRAF2,Affinity Capture-Western
TNFRSF1A,BIRC2,Affinity Capture-Western
TRADD,TRADD,Co-fractionation
TRAF2,BIRC2,Affinity Capture-Western
TRAF1,BIRC2,Affinity Capture-Western
EIF2S2,Eif5,Reconstituted Complex
KIFAP3,SMC3,Two-hybrid
SMC3,KIFAP3,Reconstituted Complex
TNFRSF11A,TRAF1,Reconstituted Complex
TNFRSF11A,TRAF3,Reconstituted Complex
TNFRSF11A,TRAF5,Reconstituted Complex
TNFRSF11A,TRAF6,Reconstituted Complex
TNFRSF11A,TRAF2,Reconstituted Complex
TNFRSF11A,TRAF1,Reconstituted Complex
TNFRSF11A,TRAF3,Reconstituted Complex
TNFRSF11A,TRAF6,Reconstituted Complex
TNFRSF11A,TRAF2,Reconstituted Complex
TNFRSF11A,Traf5,Reconstituted Complex
TNFRSF11A,Traf5,Affinity Capture-Western
TNFRSF11A,TRAF1,Affinity Capture-Western
TNFRSF11A,TRAF3,Affinity Capture-Western
TNFRSF11A,TRAF6,Affinity Capture-Western
TNFRSF11A,TRAF2,Affinity Capture-Western
TRAF2,MAP3K1,Co-fractionation
MAP3K1,TRAF2,Affinity Capture-Western
STAMBP,STAM,Protein-peptide
STAMBP,STAM,Affinity Capture-Western
STAM,STAMBP,Affinity Capture-Western
CASP4,CASP1,Reconstituted Complex
MAP4K5,TRAF2,Affinity Capture-Western
TRAF2,MAP4K5,Affinity Capture-Western
GTF2I,MAPK3,Affinity Capture-Western
MAPK3,GTF2I,Biochemical Activity
TRAF2,Ern2,Affinity Capture-Western
NCOA3,ESR2,Reconstituted Complex
NCOA3,VDR,Reconstituted Complex
TRAF3,NUP62,Two-hybrid
TRAF3,TRAF3,Two-hybrid
TRAF3,NUP62,Affinity Capture-Western
NUP62,TRAF3,Affinity Capture-Western
TRAF3,TRAF3IP1,Two-hybrid
TRAF3IP1,TRAF3,Reconstituted Complex
TRAF3IP1,TRAF6,Reconstituted Complex
TRAF3IP1,TRAF3,Affinity Capture-Western
IGBP1,MID1,Co-localization
IGBP1,MID2,Co-localization
MID1,MID1,Two-hybrid
MID2,MID2,Two-hybrid
MID1,MID2,Two-hybrid
MID2,MID1,Two-hybrid
MID1,MID1,Affinity Capture-Western
MID2,MID2,Affinity Capture-Western
MID1,MID2,Affinity Capture-Western
MID2,MID1,Affinity Capture-Western
MID1,Igbp1,Two-hybrid
MID2,Igbp1,Two-hybrid
MID1,MID1,Affinity Capture-Western
ATOX1,ATP7B,Reconstituted Complex
ATP7B,ATOX1,Affinity Capture-Western
CASR,FLNA,Two-hybrid
FLNA,CASR,Affinity Capture-Western
CASR,FLNA,Affinity Capture-Western
SH2B3,FLNA,Two-hybrid
FLNA,SH2B3,Affinity Capture-Western
HCFC1,GABPA,Reconstituted Complex
HCFC1,ZBTB17,Two-hybrid
HCFC1,ZBTB17,Affinity Capture-Western
HCFC1,ZBTB17,Reconstituted Complex
ZBTB17,HCFC1,Reconstituted Complex
HCFC1,CREB3,Two-hybrid
HCFC1,CREB3,Affinity Capture-Western
GRB7,EPHB1,Two-hybrid
GRB7,EPHB1,Affinity Capture-Western
NDC80,NEK2,Two-hybrid
NDC80,PSMC2,Two-hybrid
PSMC2,NDC80,Reconstituted Complex
PSMC2,NDC80,Affinity Capture-Western
NDC80,PSMC2,Co-fractionation
VAMP7,SNAP23,Reconstituted Complex
STX7,GTF2I,Affinity Capture-MS
STX7,STX6,Affinity Capture-MS
STX7,VAMP8,Affinity Capture-MS
SF3B4,SF3B2,Far Western
SART1,IGHE,Reconstituted Complex
SRR,SRR,Reconstituted Complex
DZIP3,DZIP3,Biochemical Activity
ANGPTL7,ANGPTL7,Co-purification
SAE1,UBA2,Reconstituted Complex
CHMP1A,VPS4A,Affinity Capture-Western
CHMP1A,VPS4A,Reconstituted Complex
CHMP1A,VPS4A,Two-hybrid
TRHR,TRHR,Affinity Capture-Western
ZAK,ZAK,Affinity Capture-Western
CALCRL,CRCP,Affinity Capture-Western
TAF11,TAF13,Co-crystal Structure
PLXNA1,PLXNA1,Affinity Capture-Western
PLXNA1,NPTX1,Affinity Capture-Western
TRPC1,TRPC3,Affinity Capture-Western
GAD1,GAD2,Affinity Capture-Western
GAD2,GAD1,Affinity Capture-Western
CDK14,8-Sep,Affinity Capture-Western
HIBADH,HIBADH,Co-purification
BOC,CDON,Affinity Capture-Western
CDON,BOC,Affinity Capture-Western
DYNC2H1,DYNC2LI1,Affinity Capture-Western
ELTD1,ELTD1,Affinity Capture-Western
LRIT1,LRIT1,Affinity Capture-Western
UPK2,UPK2,Reconstituted Complex
ENAH,ZYX,Protein-peptide
ZYX,ENAH,Affinity Capture-Western
ZYX,VASP,Affinity Capture-Western
TNFRSF19,Traf1,Affinity Capture-Western
TNFRSF19,Traf2,Affinity Capture-Western
TNFRSF19,Traf3,Affinity Capture-Western
TNFRSF19,Traf5,Affinity Capture-Western
RFXANK,RFXAP,Reconstituted Complex
RFXANK,RFXAP,Affinity Capture-Western
RFXANK,RFXAP,Two-hybrid
RFXANK,RFX5,Two-hybrid
TNFRSF13B,TNFSF13B,Reconstituted Complex
TNFRSF13B,Tnfsf13b,Reconstituted Complex
TNFRSF13B,TRAF2,Two-hybrid
TNFRSF13B,TRAF5,Two-hybrid
TNFRSF13B,TRAF6,Two-hybrid
TRAF2,TNFRSF13B,Affinity Capture-Western
TRAF5,TNFRSF13B,Affinity Capture-Western
TRAF6,TNFRSF13B,Affinity Capture-Western
CAMLG,TNFRSF13B,Affinity Capture-Western
GTF2H2,ERCC2,Affinity Capture-Western
GTF2H2,GTF2H4,Affinity Capture-Western
GTF2H2,CDK7,Affinity Capture-Western
GTF2H2,CCNH,Affinity Capture-Western
GTF2H2,GTF2H5,Affinity Capture-Western
GTF2H2,GTF2H1,Affinity Capture-Western
PTPRN,SPTBN4,Two-hybrid
PTPRN2,SPTBN4,Two-hybrid
PTPRN,SPTBN4,Affinity Capture-Western
BCL10,TRAF2,Two-hybrid
BCL10,TRAF2,Affinity Capture-Western
TRAF2,BCL10,Affinity Capture-Western
BIRC2,BCL10,Affinity Capture-Western
BIRC2,TRAF2,Affinity Capture-Western
TRAF2,BIRC2,Affinity Capture-Western
BIRC3,BCL10,Affinity Capture-Western
BIRC3,TRAF2,Affinity Capture-Western
TRAF2,BIRC3,Affinity Capture-Western
BIRC5,BIRC5,Reconstituted Complex
BIRC5,CASP7,Biochemical Activity
BIRC5,CASP3,Biochemical Activity
BIRC5,CASP3,Reconstituted Complex
BIRC5,CASP7,Reconstituted Complex
RPS6KA1,TOB1,Biochemical Activity
RPS6KA1,TOB1,Reconstituted Complex
TOB1,RPS6KA1,Affinity Capture-Western
RPS6KA1,TOB1,Affinity Capture-Western
MAP3K14,TRAF1,Reconstituted Complex
MAP3K14,TRAF2,Reconstituted Complex
MAP3K14,TRAF3,Reconstituted Complex
MAP3K14,Traf6,Reconstituted Complex
TRAF2,MAP3K14,Affinity Capture-Western
MAP3K14,CHUK,Reconstituted Complex
MAP3K14,IKBKB,Reconstituted Complex
NCK1,MAP4K1,Affinity Capture-Western
CRKL,MAP4K1,Affinity Capture-Western
MAP4K1,GRB2,Affinity Capture-Western
CRK,MAP4K1,Affinity Capture-Western
LAT,MAP4K1,Affinity Capture-Western
LAT,MAP4K1,Co-fractionation
CDC7,DBF4,Affinity Capture-Western
DBF4,CDC7,Affinity Capture-Western
PLK3,CDC25C,Biochemical Activity
PLK3,CDC25C,Affinity Capture-Western
PLK3,CDC25C,Reconstituted Complex
PIN1,CDC25C,Affinity Capture-Western
PIN1,PLK1,Affinity Capture-Western
PIN1,CDC27,Affinity Capture-Western
NEDD4,CDC25C,Affinity Capture-Western
CDC25C,NEDD4,Protein-peptide
S100B,MAPT,Reconstituted Complex
MAPT,YWHAZ,Affinity Capture-Western
YWHAZ,MAPT,Reconstituted Complex
MAPT,YWHAB,Affinity Capture-Western
MYO7A,MAP2,Affinity Capture-Western
MYO7A,MAP2,Reconstituted Complex
MYO7A,CALM1,Reconstituted Complex
MAP2,MAP2,Reconstituted Complex
PLEC,VIM,Reconstituted Complex
PLEC,MAP2,Reconstituted Complex
PLEC,SPTA1,Reconstituted Complex
PLEC,SPTAN1,Reconstituted Complex
MAG,MAP1B,Affinity Capture-Western
PAX6,MITF,Reconstituted Complex
MITF,TFE3,Affinity Capture-Western
MITF,TFEC,Affinity Capture-Western
PATZ1,MITF,Affinity Capture-Western
PATZ1,MITF,Reconstituted Complex
MITF,UBE2I,Reconstituted Complex
VIM,NME2,Affinity Capture-Western
NME3,NME1,Affinity Capture-Western
NME3,NME2,Affinity Capture-Western
RRAD,NME1,Affinity Capture-Western
NME1,TIAM1,Affinity Capture-Western
NME1,RAC1,Biochemical Activity
NME1,PRUNE,Reconstituted Complex
NME1,PRUNE,Two-hybrid
AGRP,MC4R,Reconstituted Complex
POMC,MC4R,Reconstituted Complex
POMC,MC4R,Reconstituted Complex
POMC,MC5R,Reconstituted Complex
POMC,MC3R,Reconstituted Complex
POMC,MC1R,Reconstituted Complex
MNT,MAX,Reconstituted Complex
MNT,MNT,Reconstituted Complex
MAX,MNT,Two-hybrid
MAX,MXI1,Two-hybrid
MAX,MXD3,Two-hybrid
MAX,MYC,Two-hybrid
SIN3A,MNT,Two-hybrid
SIN3A,MXD3,Two-hybrid
MNT,SIN3A,Reconstituted Complex
MAX,MAX,Reconstituted Complex
MAX,MYC,Reconstituted Complex
MAX,MYC,Co-crystal Structure
MAX,MXD1,Co-crystal Structure
MAX,MAX,Co-crystal Structure
MAX,MYC,Reconstituted Complex
MAX,MYCN,Reconstituted Complex
MAX,MYCL,Reconstituted Complex
MAX,MXI1,Reconstituted Complex
MAX,MXD3,Reconstituted Complex
MAX,MXD4,Reconstituted Complex
CASP3,XIAP,Reconstituted Complex
CASP7,XIAP,Reconstituted Complex
TNK2,MCF2,Affinity Capture-Western
XIAP,CASP3,Reconstituted Complex
XIAP,CASP7,Reconstituted Complex
XIAP,MAGED1,Two-hybrid
XIAP,MAGED1,Affinity Capture-Western
MAGED1,XIAP,Affinity Capture-Western
MCF2,GNA13,Affinity Capture-Western
ARAF,MAP2K2,Reconstituted Complex
XIAP,XAF1,Two-hybrid
XIAP,XAF1,Affinity Capture-Western
XIAP,XAF1,Co-localization
VIM,PLEC,Affinity Capture-Western
VIM,ACTA1,Affinity Capture-Western
VIM,SPTAN1,Affinity Capture-Western
VIM,LMNB1,Affinity Capture-Western
SPTAN1,LMNB1,Affinity Capture-Western
SPTAN1,ACTA1,Affinity Capture-Western
SPTAN1,VIM,Affinity Capture-Western
SPTAN1,PLEC,Affinity Capture-Western
SPTAN1,MSN,Affinity Capture-Western
XIAP,CASP3,Reconstituted Complex
XIAP,CASP7,Reconstituted Complex
XIAP,HTRA2,Affinity Capture-Western
BIRC2,HTRA2,Affinity Capture-Western
FMR1,NUFIP1,Reconstituted Complex
NUFIP1,FMR1,Affinity Capture-Western
XIAP,DIABLO,Affinity Capture-Western
FMR1,FXR2,Two-hybrid
FMR1,FMR1,Two-hybrid
FMR1,FXR1,Reconstituted Complex
FMR1,FXR2,Reconstituted Complex
FXR2,FXR1,Reconstituted Complex
FMR1,FXR1,Two-hybrid
FXR1,FXR2,Two-hybrid
FXR2,FMR1,Two-hybrid
FXR2,FXR1,Two-hybrid
FMR1,FXR2,Affinity Capture-Western
FXR1,FXR1,Two-hybrid
FXR2,FXR2,Two-hybrid
PRKCI,FRS2,Two-hybrid
PRKCI,FRS2,Reconstituted Complex
BMX,PAK1,Affinity Capture-Western
PAK1,BMX,Affinity Capture-Western
PAK1,BMX,Reconstituted Complex
ARHGDIA,CDC42,Co-purification
ARHGDIA,RHOA,Co-purification
ARHGDIA,RAC1,Co-purification
ARHGDIA,RAC2,Co-purification
PPP6C,IGBP1,Two-hybrid
IGBP1,PPP6C,Affinity Capture-Western
IGBP1,PPP6C,Reconstituted Complex
PPP6C,IGBP1,Affinity Capture-Western
IGBP1,PPP2CA,Affinity Capture-Western
PPP2CA,IGBP1,Affinity Capture-Western
IGBP1,PPP6C,Two-hybrid
IGBP1,PPP4C,Two-hybrid
PPP2CA,IGBP1,Affinity Capture-Western
PAK3,ARHGEF7,Two-hybrid
ACTN3,ACTN2,Far Western
ACTN2,ACTN3,Far Western
ACTN3,ACTN2,Reconstituted Complex
ACTN2,ACTN3,Reconstituted Complex
ACTN3,ACTN2,Affinity Capture-Western
ACTN2,ACTN3,Affinity Capture-Western
APBA1,CASK,Reconstituted Complex
TBR1,CASK,Affinity Capture-Western
CASK,TBR1,Affinity Capture-Western
CASK,DLG1,Two-hybrid
DLG1,CASK,Affinity Capture-Western
DLG1,CASK,Reconstituted Complex
DLG1,CASK,Two-hybrid
MED14,STAT2,Affinity Capture-Western
STAT2,MED14,Reconstituted Complex
MED1,AR,Affinity Capture-Western
AR,MED1,Reconstituted Complex
HNF4A,MED1,Reconstituted Complex
HNF4A,MED14,Reconstituted Complex
HNF4A,MED24,Reconstituted Complex
HNF4A,MED17,Reconstituted Complex
HNF4A,MED16,Reconstituted Complex
HNF4A,MED7,Reconstituted Complex
HNF4A,MED21,Reconstituted Complex
HNF4A,MED10,Reconstituted Complex
GYG1,GYG2,Co-fractionation
GYG2,GYG1,Affinity Capture-Western
GYG1,GYG2,Affinity Capture-Western
GYG1,GYG2,Reconstituted Complex
CFTR,GOPC,Affinity Capture-Western
CARD8,IKBKG,Affinity Capture-Western
IKBKG,TRAF3IP2,Affinity Capture-Western
TRAF3IP2,CHUK,Affinity Capture-Western
TRAF3IP2,IKBKB,Affinity Capture-Western
IKBKG,TRAF3IP2,Affinity Capture-Western
CHUK,IKBKB,Reconstituted Complex
CHUK,IKBKB,Affinity Capture-Western
RAB11A,RAB11FIP2,Two-hybrid
RAB11A,RAB11FIP3,Two-hybrid
RAB11A,RAB11FIP5,Two-hybrid
RAB11A,RAB11FIP1,Two-hybrid
RAB11B,RAB11FIP1,Two-hybrid
RAB11B,RAB11FIP2,Two-hybrid
RAB11B,RAB11FIP3,Two-hybrid
RAB11B,RAB11FIP5,Two-hybrid
RAB25,RAB11FIP1,Two-hybrid
RAB25,RAB11FIP2,Two-hybrid
RAB25,RAB11FIP3,Two-hybrid
RAB25,RAB11FIP5,Two-hybrid
RAB11FIP1,RAB11A,Far Western
RAB11FIP2,RAB11A,Far Western
RAB11FIP3,RAB11A,Far Western
TRAK2,TRAK1,Affinity Capture-Western
SIN3A,OGT,Reconstituted Complex
OGT,SIN3A,Two-hybrid
OGT,SIN3A,Affinity Capture-Western
UBE3A,UBQLN1,Two-hybrid
UBE3A,UBQLN2,Co-fractionation
UBQLN2,PSMA6,Affinity Capture-Western
UBQLN1,UBE3A,Affinity Capture-Western
UBE3A,UBQLN2,Affinity Capture-Western
TIFA,TRAF6,Affinity Capture-Western
